s15_kw,s16_kw,s1_kw
0,0,0
0,0,0
0,0,0
0,0,0
0.159,0.169,0.01
2.291,2.444,0.15
5.216,5.564,0.35
7.913,8.44,0.53
10.315,11.003,0.69
9.037,9.639,0.6
11.067,11.805,0.74
12.049,12.853,0.8
8.498,9.064,0.57
6.465,6.897,0.43
6.263,6.682,0.42
3.407,3.634,0.23
0.984,1.051,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.289,0.309,0.02
0.92,0.981,0.06
3.348,3.571,0.22
3.989,4.254,0.27
4.161,4.438,0.28
3.089,3.294,0.21
3.716,3.964,0.25
1.534,1.636,0.1
1.587,1.694,0.11
1.697,1.81,0.11
2.383,2.542,0.16
1.091,1.165,0.07
1.045,1.115,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.138,0.147,0.01
2.457,2.62,0.16
4.74,5.055,0.32
7.609,8.117,0.51
9.779,10.43,0.65
9.374,9.999,0.63
11.127,11.869,0.74
10.67,11.382,0.71
9.283,9.902,0.62
9.007,9.608,0.6
6.354,6.777,0.42
3.2,3.414,0.21
1.051,1.121,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.296,0.316,0.02
2.082,2.221,0.14
4.435,4.731,0.3
6.692,7.138,0.45
8.146,8.689,0.54
7.595,8.101,0.51
9.476,10.108,0.63
11.986,12.785,0.8
10.432,11.128,0.7
9.092,9.699,0.61
6.867,7.325,0.46
3.799,4.052,0.25
0.974,1.039,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.18,0.192,0.01
2.462,2.626,0.16
5.253,5.603,0.35
8.36,8.917,0.56
10.951,11.68,0.73
11.915,12.71,0.8
10.979,11.711,0.73
10.497,11.197,0.7
8.857,9.447,0.59
7.018,7.486,0.47
4.916,5.243,0.33
3.323,3.543,0.22
0.95,1.012,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.348,0.372,0.02
0.735,0.783,0.05
0.659,0.703,0.04
2.423,2.584,0.16
0.768,0.818,0.05
2.426,2.588,0.16
2.253,2.403,0.15
2.378,2.537,0.16
1.03,1.098,0.07
2.332,2.488,0.16
2.164,2.308,0.14
1.116,1.191,0.08
0.203,0.217,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.433,0.462,0.03
2.117,2.258,0.14
4.238,4.52,0.28
2.536,2.706,0.17
5.244,5.594,0.35
5.953,6.349,0.4
6.361,6.785,0.42
3.678,3.923,0.25
3.204,3.418,0.21
3.737,3.987,0.25
0.91,0.97,0.06
2.021,2.157,0.14
1,1.066,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.266,0.284,0.02
2.15,2.294,0.14
4.51,4.811,0.3
5.877,6.269,0.39
10.412,11.107,0.7
10.647,11.356,0.71
11.062,11.799,0.74
9.547,10.184,0.64
7.099,7.573,0.47
6.519,6.954,0.44
4.912,5.24,0.33
3.644,3.887,0.24
0.965,1.03,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.298,0.317,0.02
2.249,2.399,0.15
4.962,5.292,0.33
7.079,7.551,0.47
9.69,10.336,0.65
8.825,9.413,0.59
10.943,11.672,0.73
11.005,11.738,0.73
9.66,10.303,0.64
9.23,9.845,0.62
6.314,6.735,0.42
3.789,4.042,0.25
0.883,0.942,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.195,0.207,0.01
2.102,2.242,0.14
3.914,4.175,0.26
6.449,6.879,0.43
8.306,8.859,0.55
8.919,9.513,0.59
8.796,9.382,0.59
8.366,8.923,0.56
7.951,8.48,0.53
7.732,8.248,0.52
6.128,6.537,0.41
3.728,3.975,0.25
0.921,0.983,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.115,0.122,0.01
0.663,0.707,0.04
3.164,3.375,0.21
3.693,3.94,0.25
6.723,7.171,0.45
7.982,8.515,0.53
9.565,10.203,0.64
9.366,9.99,0.62
8.229,8.779,0.55
7.913,8.442,0.53
5.265,5.616,0.35
2.657,2.834,0.18
0.791,0.843,0.05
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.451,0.481,0.03
1.938,2.067,0.13
3.994,4.259,0.27
7.249,7.731,0.48
6.859,7.316,0.46
7.72,8.235,0.52
6.98,7.445,0.47
10.206,10.886,0.68
8.742,9.325,0.58
6.519,6.954,0.44
6.528,6.963,0.44
3.605,3.846,0.24
1.112,1.187,0.08
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.275,0.294,0.02
2.157,2.302,0.15
4.853,5.177,0.32
7.285,7.771,0.49
8.938,9.535,0.6
9.68,10.326,0.65
12.205,13.018,0.81
10.288,10.973,0.69
10.319,11.007,0.69
8.514,9.082,0.57
6.194,6.607,0.41
3.559,3.796,0.24
0.958,1.021,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.468,0.5,0.03
2.046,2.182,0.14
5.188,5.534,0.35
6.283,6.701,0.42
8.799,9.387,0.59
9.843,10.499,0.66
9.135,9.744,0.61
9.17,9.781,0.61
8.836,9.424,0.59
8.222,8.77,0.55
6.017,6.419,0.4
2.801,2.989,0.19
1.131,1.207,0.08
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.376,0.401,0.03
0.978,1.043,0.07
3.303,3.522,0.22
6.258,6.676,0.42
5.381,5.74,0.36
8.458,9.022,0.56
9.779,10.432,0.65
8.747,9.33,0.58
7.528,8.03,0.5
5.956,6.354,0.4
4.919,5.247,0.33
2.471,2.636,0.17
1.129,1.203,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.157,0.168,0.01
2.124,2.265,0.14
4.433,4.73,0.3
6.682,7.127,0.45
9.002,9.602,0.6
10.687,11.399,0.71
11.359,12.116,0.76
12.137,12.946,0.81
11.394,12.153,0.76
9.181,9.792,0.61
6.485,6.917,0.43
3.542,3.777,0.24
0.973,1.039,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.455,0.485,0.03
1.984,2.115,0.13
3.765,4.016,0.25
3.951,4.213,0.26
7.407,7.9,0.49
10.624,11.331,0.71
7.074,7.545,0.47
7.043,7.513,0.47
9.15,9.759,0.61
7.594,8.101,0.51
5.467,5.831,0.36
2.986,3.185,0.2
1.063,1.133,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.488,0.521,0.03
1.517,1.618,0.1
5.277,5.628,0.35
5.828,6.216,0.39
9.378,10.004,0.63
10.906,11.634,0.73
10.61,11.317,0.71
10.845,11.569,0.72
7.659,8.17,0.51
6.28,6.698,0.42
5.929,6.324,0.4
2.587,2.76,0.17
1.173,1.25,0.08
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.215,0.229,0.01
2.101,2.241,0.14
5.457,5.822,0.37
8.15,8.692,0.54
10.51,11.209,0.7
11.95,12.747,0.8
12.434,13.263,0.83
11.996,12.795,0.8
10.516,11.216,0.7
9.148,9.758,0.61
6.13,6.539,0.41
3.308,3.529,0.22
0.963,1.027,0.06
0.107,0.113,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.487,0.52,0.03
1.945,2.075,0.13
3.205,3.418,0.21
6.019,6.419,0.4
6.887,7.345,0.46
7.871,8.396,0.53
10.568,11.273,0.71
10.493,11.192,0.7
7.85,8.373,0.52
7.392,7.884,0.49
5.741,6.124,0.38
1.841,1.963,0.12
0.547,0.584,0.04
0.12,0.128,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.246,0.263,0.02
2.105,2.245,0.14
4.521,4.822,0.3
6.965,7.429,0.46
9.877,10.536,0.66
11.29,12.043,0.75
11.097,11.837,0.74
9.238,9.854,0.62
10.341,11.03,0.69
8.741,9.324,0.58
6.48,6.913,0.43
3.288,3.507,0.22
1.103,1.176,0.07
0.095,0.102,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.359,0.383,0.02
1.853,1.977,0.12
4.351,4.641,0.29
7.084,7.557,0.47
7.881,8.407,0.53
11.491,12.257,0.77
12.354,13.178,0.82
11.981,12.78,0.8
9.186,9.799,0.61
7.057,7.527,0.47
4.253,4.536,0.28
2.093,2.233,0.14
1.14,1.216,0.08
0.137,0.147,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.474,0.507,0.03
1.85,1.973,0.12
3.85,4.107,0.26
4.95,5.281,0.33
3.101,3.307,0.21
5.544,5.914,0.37
4.039,4.309,0.27
6.574,7.011,0.44
6.843,7.3,0.46
4.743,5.059,0.32
1.389,1.483,0.09
2.049,2.186,0.14
1.133,1.209,0.08
0.046,0.049,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.359,0.383,0.02
2.15,2.294,0.14
4.932,5.261,0.33
6.551,6.987,0.44
9.839,10.495,0.66
10,10.667,0.67
11.753,12.537,0.78
10.693,11.407,0.71
8.483,9.048,0.57
6.634,7.077,0.44
4.874,5.199,0.33
3.65,3.894,0.24
1.03,1.099,0.07
0.099,0.106,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.18,0.192,0.01
1.582,1.688,0.11
1.935,2.063,0.13
3.624,3.866,0.24
4.49,4.79,0.3
5.554,5.924,0.37
6.062,6.466,0.4
6.068,6.472,0.4
6.311,6.733,0.42
4.314,4.602,0.29
1.65,1.761,0.11
1.758,1.875,0.12
1.04,1.109,0.07
0.125,0.134,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.503,0.536,0.03
2.045,2.182,0.14
4.599,4.905,0.31
6.621,7.063,0.44
7.178,7.657,0.48
9.627,10.27,0.64
11.042,11.778,0.74
8.593,9.165,0.57
9.796,10.449,0.65
6.987,7.452,0.47
4.859,5.183,0.32
2.523,2.69,0.17
1.203,1.283,0.08
0.152,0.163,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.412,0.439,0.03
1.109,1.183,0.07
1.464,1.563,0.1
2.697,2.876,0.18
4.739,5.056,0.32
5.343,5.699,0.36
4.025,4.294,0.27
8.168,8.713,0.55
6.461,6.891,0.43
6.782,7.234,0.45
2.652,2.829,0.18
2.009,2.144,0.14
1.059,1.13,0.07
0.119,0.128,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.386,0.411,0.03
1.987,2.121,0.13
3.785,4.038,0.25
5.307,5.661,0.35
9.325,9.946,0.62
10.334,11.023,0.69
9.876,10.533,0.66
8.388,8.947,0.56
8.112,8.652,0.54
6.035,6.437,0.4
5.287,5.64,0.35
2.514,2.682,0.17
1.17,1.249,0.08
0.149,0.159,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.391,0.417,0.03
1.896,2.022,0.13
3.035,3.237,0.2
4.815,5.136,0.32
7.279,7.763,0.48
10.484,11.183,0.7
10.149,10.825,0.68
9.646,10.289,0.64
9.085,9.691,0.61
6.137,6.546,0.41
6.28,6.7,0.42
3.219,3.435,0.22
0.983,1.049,0.07
0.13,0.139,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.231,0.246,0.02
1.999,2.132,0.13
4.236,4.518,0.28
6.638,7.081,0.44
8.93,9.524,0.59
8.752,9.337,0.59
11.362,12.119,0.76
10.035,10.705,0.67
6.586,7.026,0.44
5.218,5.567,0.35
4.451,4.748,0.3
3.332,3.554,0.22
1.095,1.169,0.07
0.164,0.176,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.506,0.54,0.03
1.44,1.536,0.1
3.407,3.635,0.23
2.884,3.076,0.19
4.097,4.371,0.27
4.834,5.156,0.32
4.315,4.603,0.29
8.266,8.816,0.55
5.48,5.845,0.37
5.279,5.632,0.35
4.179,4.457,0.28
2.62,2.794,0.17
0.835,0.891,0.06
0.047,0.05,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.515,0.549,0.03
2.025,2.161,0.14
3.891,4.151,0.26
5.205,5.553,0.35
6.721,7.169,0.45
9.704,10.352,0.65
9.495,10.129,0.63
9.084,9.689,0.61
6,6.4,0.4
7.013,7.481,0.47
4.724,5.039,0.32
3.322,3.544,0.22
1.097,1.171,0.07
0.18,0.192,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.226,0.242,0.02
2.12,2.262,0.14
4.28,4.565,0.29
5.208,5.555,0.35
7.669,8.179,0.51
10.149,10.825,0.68
9.221,9.836,0.62
9.434,10.063,0.63
8.125,8.666,0.54
7.625,8.133,0.51
6.664,7.108,0.44
3.795,4.047,0.25
1.109,1.183,0.07
0.13,0.139,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.194,0.207,0.01
2.237,2.385,0.15
4.866,5.189,0.32
7.739,8.256,0.52
9.75,10.401,0.65
11.804,12.591,0.79
11.697,12.477,0.78
12.161,12.972,0.81
10.881,11.607,0.73
8.11,8.65,0.54
6.188,6.601,0.41
3.468,3.699,0.23
1.08,1.152,0.07
0.079,0.084,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.249,0.264,0.02
2.195,2.342,0.15
4.816,5.137,0.32
6.279,6.699,0.42
9.381,10.007,0.63
10.455,11.151,0.7
9.297,9.916,0.62
11.399,12.158,0.76
9.971,10.636,0.67
8.837,9.426,0.59
5.536,5.906,0.37
3.39,3.616,0.23
1.136,1.212,0.08
0.119,0.126,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.494,0.528,0.03
1.557,1.661,0.1
2.631,2.806,0.18
3.284,3.504,0.22
3.53,3.765,0.24
4.153,4.431,0.28
7.413,7.908,0.5
8.701,9.281,0.58
7.753,8.269,0.52
8.082,8.62,0.54
6.287,6.705,0.42
2.832,3.021,0.19
1.293,1.378,0.09
0.115,0.122,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.11,0.116,0.01
0.344,0.366,0.02
0.252,0.268,0.02
0.698,0.744,0.05
0.554,0.591,0.04
0.901,0.961,0.06
2.227,2.374,0.15
2.362,2.521,0.16
1.641,1.751,0.11
0.739,0.788,0.05
1.128,1.203,0.08
0.182,0.194,0.01
0.027,0.028,0
0.025,0.027,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.43,0.458,0.03
0.555,0.591,0.04
0.435,0.464,0.03
2.43,2.593,0.16
3.333,3.555,0.22
2.211,2.359,0.15
2.605,2.779,0.17
2.218,2.366,0.15
3.774,4.026,0.25
1.004,1.071,0.07
1.828,1.95,0.12
2.364,2.522,0.16
0.907,0.967,0.06
0.113,0.12,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.454,0.484,0.03
1.88,2.005,0.13
4.216,4.497,0.28
6.12,6.528,0.41
8.088,8.627,0.54
7.324,7.812,0.49
7.455,7.952,0.5
5.351,5.708,0.36
4.662,4.972,0.31
2.548,2.718,0.17
2.154,2.297,0.14
0.683,0.728,0.05
0.387,0.414,0.03
0.106,0.114,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.192,0.205,0.01
1.922,2.051,0.13
4.007,4.274,0.27
5.462,5.825,0.36
5.592,5.964,0.37
7.152,7.628,0.48
11.158,11.902,0.74
10.128,10.803,0.68
9.011,9.612,0.6
8.447,9.011,0.56
6.062,6.467,0.41
2.897,3.091,0.19
1.248,1.331,0.08
0.197,0.211,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.482,0.515,0.03
1.393,1.486,0.09
3.445,3.674,0.23
3.404,3.63,0.23
5.078,5.415,0.34
5.33,5.686,0.36
4.201,4.481,0.28
8.155,8.698,0.54
8.976,9.575,0.6
6.175,6.587,0.41
4.814,5.134,0.32
3.402,3.63,0.23
1.329,1.418,0.09
0.178,0.19,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.479,0.512,0.03
1.572,1.677,0.11
3.037,3.239,0.2
4.596,4.903,0.31
7.112,7.586,0.47
7.407,7.901,0.49
10.204,10.885,0.68
6.656,7.099,0.44
5.66,6.037,0.38
8.851,9.442,0.59
6.358,6.782,0.42
3.985,4.25,0.27
1.24,1.322,0.08
0.066,0.069,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.445,0.475,0.03
0.559,0.597,0.04
1.576,1.681,0.11
4.318,4.606,0.29
6.182,6.595,0.41
6.191,6.603,0.41
6.63,7.072,0.44
9.792,10.444,0.65
7.02,7.488,0.47
5.938,6.334,0.4
4.981,5.314,0.33
2.978,3.176,0.2
1.326,1.415,0.09
0.194,0.207,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.398,0.424,0.03
1.944,2.073,0.13
4.189,4.468,0.28
5.659,6.036,0.38
8.188,8.734,0.55
10.783,11.501,0.72
11.567,12.338,0.77
10.424,11.119,0.7
8.15,8.694,0.54
4.954,5.284,0.33
5.81,6.199,0.39
2.904,3.098,0.19
1.29,1.377,0.09
0.044,0.047,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.294,0.314,0.02
0.666,0.71,0.04
1.551,1.655,0.1
0.991,1.058,0.07
1.511,1.611,0.1
1.329,1.418,0.09
1.279,1.364,0.09
3.389,3.616,0.23
2.887,3.08,0.19
1.772,1.89,0.12
1.184,1.263,0.08
0.071,0.076,0.01
0.336,0.358,0.02
-0.001,-8.67E-18,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.433,0.462,0.03
1.567,1.671,0.1
0.96,1.024,0.06
0.978,1.044,0.07
1.76,1.876,0.12
3.38,3.606,0.23
3.775,4.027,0.25
2.194,2.34,0.15
1.187,1.266,0.08
2.713,2.895,0.18
2.697,2.876,0.18
2.751,2.934,0.18
1.098,1.171,0.07
0.206,0.22,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.461,0.492,0.03
1.316,1.405,0.09
3.738,3.988,0.25
7.134,7.61,0.48
7.409,7.902,0.49
9.729,10.378,0.65
8.79,9.376,0.59
6.731,7.179,0.45
6.208,6.622,0.41
6.909,7.369,0.46
4.33,4.619,0.29
3.45,3.68,0.23
1.359,1.45,0.09
0.223,0.238,0.02
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.438,0.467,0.03
1.817,1.937,0.12
2.715,2.895,0.18
4.639,4.949,0.31
8.695,9.275,0.58
9.464,10.095,0.63
9.19,9.804,0.61
8.981,9.58,0.6
4.865,5.189,0.32
5.279,5.631,0.35
3.863,4.121,0.26
2.576,2.748,0.17
0.79,0.841,0.05
0.164,0.175,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.336,0.359,0.02
1.887,2.013,0.13
4.959,5.289,0.33
7.741,8.257,0.52
6.971,7.436,0.47
6.93,7.392,0.46
9.546,10.182,0.64
9.787,10.439,0.65
7.528,8.029,0.5
5.058,5.394,0.34
4.595,4.902,0.31
3.143,3.353,0.21
1.362,1.454,0.09
0.217,0.231,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.425,0.454,0.03
1.654,1.764,0.11
1.943,2.072,0.13
2.788,2.974,0.19
3.926,4.188,0.26
6.292,6.712,0.42
7.856,8.38,0.52
7.571,8.075,0.5
5.952,6.348,0.4
4.824,5.147,0.32
5.37,5.728,0.36
2.785,2.971,0.19
0.95,1.014,0.06
0.225,0.24,0.02
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.368,0.393,0.03
1.85,1.973,0.12
2.92,3.115,0.2
1.634,1.743,0.11
6.051,6.455,0.4
8.054,8.591,0.54
5.783,6.169,0.39
6.287,6.706,0.42
8.77,9.355,0.59
5.115,5.456,0.34
3.391,3.617,0.23
1.792,1.912,0.12
1.372,1.464,0.09
0.216,0.232,0.02
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.22,0.234,0.01
0.841,0.896,0.06
1.556,1.66,0.1
1.188,1.266,0.08
1.278,1.363,0.09
2.282,2.435,0.15
2.881,3.073,0.19
3.024,3.226,0.2
1.233,1.315,0.08
3.12,3.328,0.21
1.03,1.099,0.07
0.311,0.331,0.02
0.079,0.084,0.01
0.009,0.01,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.167,0.177,0.01
0.837,0.892,0.06
0.932,0.995,0.06
1.189,1.268,0.08
1.255,1.339,0.08
6.183,6.595,0.41
8.452,9.014,0.56
8.013,8.547,0.53
4.55,4.853,0.3
4.693,5.006,0.31
4.18,4.459,0.28
2.027,2.162,0.14
0.476,0.509,0.03
0.146,0.155,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.199,0.212,0.01
0.084,0.09,0.01
0.12,0.128,0.01
0.823,0.878,0.06
1.628,1.738,0.11
0.393,0.42,0.03
3.234,3.45,0.22
4.943,5.272,0.33
3.096,3.303,0.21
2.701,2.882,0.18
1.839,1.962,0.12
0.696,0.743,0.05
0.269,0.287,0.02
0.079,0.083,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.166,0.178,0.01
0.58,0.62,0.04
2.269,2.42,0.15
5.89,6.283,0.39
4.736,5.052,0.32
2.66,2.837,0.18
3.656,3.9,0.24
3.575,3.814,0.24
5.164,5.508,0.34
4.533,4.835,0.3
3.783,4.035,0.25
2.536,2.705,0.17
1.355,1.444,0.09
0.221,0.237,0.02
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.358,0.382,0.02
1.565,1.668,0.1
4.443,4.74,0.3
7.543,8.047,0.5
9.594,10.235,0.64
6.781,7.233,0.45
10.651,11.36,0.71
7.823,8.344,0.52
10.143,10.818,0.68
7.703,8.217,0.51
6.495,6.928,0.43
3.788,4.04,0.25
1.254,1.337,0.08
0.045,0.048,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.334,0.357,0.02
1.211,1.291,0.08
1.508,1.609,0.1
3.761,4.012,0.25
3.091,3.296,0.21
4.379,4.67,0.29
2.473,2.639,0.17
2.619,2.794,0.18
1.093,1.167,0.07
0.175,0.186,0.01
1.297,1.384,0.09
0.555,0.592,0.04
0.173,0.185,0.01
0.073,0.078,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.332,0.354,0.02
1.816,1.936,0.12
3.355,3.578,0.22
3.744,3.994,0.25
4.022,4.291,0.27
4.123,4.398,0.28
2.849,3.038,0.19
5.15,5.493,0.34
4.6,4.907,0.31
6.543,6.979,0.44
2.905,3.098,0.19
3.284,3.502,0.22
1.409,1.502,0.09
0.108,0.115,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.273,0.291,0.02
1.8,1.921,0.12
3.769,4.021,0.25
7.098,7.571,0.47
9.969,10.635,0.67
11.067,11.805,0.74
12.729,13.578,0.85
11.888,12.681,0.79
11.378,12.136,0.76
10.393,11.086,0.69
7.217,7.698,0.48
3.826,4.082,0.26
1.295,1.382,0.09
0.216,0.23,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.239,0.256,0.02
0.435,0.464,0.03
2.682,2.861,0.18
3.72,3.968,0.25
3.991,4.257,0.27
6.763,7.214,0.45
4.269,4.554,0.29
8.643,9.219,0.58
6.149,6.559,0.41
5.204,5.551,0.35
3.715,3.962,0.25
2.736,2.919,0.18
1.406,1.5,0.09
0.177,0.189,0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.091,0.098,0.01
1.797,1.916,0.12
3.565,3.802,0.24
7.529,8.031,0.5
10.876,11.601,0.73
11.275,12.028,0.75
11.011,11.745,0.73
11.045,11.781,0.74
9.905,10.565,0.66
8.441,9.004,0.56
5.357,5.714,0.36
4,4.266,0.27
1.382,1.475,0.09
0.051,0.053,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.37,0.395,0.03
1.786,1.905,0.12
4.803,5.123,0.32
7.933,8.462,0.53
8.737,9.319,0.58
9.827,10.482,0.66
11.27,12.022,0.75
12.659,13.502,0.84
9.645,10.289,0.64
8.895,9.489,0.59
6.913,7.373,0.46
3.21,3.425,0.22
1.385,1.477,0.09
0.224,0.239,0.02
0,0,0
0,0,0
